仲夏庭园,日常,如雷的盛怒,平息鸣雷的尊者,0,圣遗物秘境,随着远古的文明失落，曾经繁茂伟大的夏宫灵囿也被深埋地底。或许只有其中的古树与砖石，仍记得过去的景象吧...,蒙德
铭记之谷,日常,翠绿之影,被怜爱的少女,0,圣遗物秘境,后来又有一段时间，大地上的人们失去了过去。他们试图向下探索，寻找已经被遗忘的东西。古树树洞的另一端，过去的秘密凝结成了宝藏。,蒙德
芬德尼尔之顶,日常,冰风迷途的勇士,沉沦之心,0,圣遗物秘境,这里原本是靠近天空的仪式场所，被天降的寒天之钉埋入山体。,龙脊雪山
孤云凌霄之处,日常,悠古的磐岩,逆飞的流星,0,圣遗物秘境,涌入的寒气造就了这里独特的环境。要通过试炼，就必须克服其中的严寒…,璃月
无妄引咎密宫,日常,炽烈的炎之魔女,渡过烈火的贤人,0,圣遗物秘境,有一秘法会从八门之中隐去一门，断绝邪恶的出路，而古时曾有人在此作法把妖魔困入。相传外面的七柱暗合七门之法，镇压着一只恶螭龙。,璃月
华池岩岫,日常,染血的骑士道,昔日宗室之仪,0,圣遗物秘境,奥藏山可说是山如其名，诸妙藏奥。此地天池粗看不过普通绝景，其实内藏有一岩洞，可接天上，能吐白云。「白云出岫」——并不是这么来的。,璃月
山脊守望,日常,千岩牢固,苍白之火,0,圣遗物秘境,矗立在山脊的起点，如同界碑一般守望着南与北、山岳与水泽的远古城墟。传说中它的门扉只对心中燃烧着永不熄灭的烈火的人敞开，为他们祝圣戴冠。,璃月
岩中幽谷,日常,辰砂往生录,来歆余响,0,圣遗物秘境,古时的祭场曾经因为很久以前撕碎天穹与大地的灾祸埋入地下，又随着异物陨落而隆起，最终又因至交反目的厮杀造成的破坏而显露出来。但曾经来往此间的人早已不再了。,层岩巨渊
椛染之庭,日常,追忆之注连,绝缘之旗印,0,圣遗物秘境,似乎永远静止在红叶衰落之刻的借景之庭。曾经失却的因缘、无法忘却的爱执，或许都会循着大地当中的脉络，凝结成庭间白树的果实吧。,稻妻
沉眠之庭,日常,华馆梦醒形骸记,海染砗磲,0,圣遗物秘境,在清籁岛还没有如今的名字，没有被染上雷色之前就静静沉眠在此间的庭苑。其中的景象永远也不会改变吧,稻妻
缘觉塔,日常,深林的记忆,饰金之梦,0,圣遗物秘境,在古时，这里似乎是美丽而伟大的为新生的人子施以祝福的场所。后来长箭从天而降，平地隆起成了山岳，古都也埋入了山中。,须弥
赤金的城墟,日常,沙上楼阁史话,乐园遗落之花,0,圣遗物秘境,曾被七层黄铜巨墙围护对的坚垒，在赤之王陨落后的混乱时代中一夕崩溃。如今金瞳的勇士，高耸的赤金箭楼只余镶嵌在破碎山岩之上的神殿遗骸，成为了封存遥远黄金时代的陵寝。,须弥
塞西莉亚苗圃,周常,凛风奔狼的怀乡,狮牙斗士的理想,高塔孤王的碎梦,武器突破材料秘境,如今只生长在高崖的塞西莉亚花，许多年前在这里的温室中盛放。轻嗅塞西莉亚花的文明已经彻底失落，白玉一般的花海也消失了。,蒙德
震雷连山密宫,周常,雾海云间的转还,漆黑陨铁的一块,孤云寒林的神体,武器突破材料秘境,相传因连山之秘的运作，山腹内产生了无穷的雷暴。在秘境门前传说偶然能听见隐隐的滚雷之声，呼唤着求索的灵魂。,璃月
砂流之庭,周常,鸣神御林的勇武,今昔剧画的鬼人,远海夷地的金枝,武器突破材料秘境,传说在书记已经全然泯灭的宙始，曾有愚王在万古的流沙之上梦想筑造供养白之神木的高庭。如今沙上之国已经归于死寂，但过往的执妄似乎仍然彷徨其中。,稻妻
有顶塔,周常,绿洲花园的真谛,烈日威权的旧日,谧林涓露的金符,武器突破材料秘境,据说在沙海中曾有三位贤王，其中一人直到最终容貌与智慧都没有退却。最终他们分别了，为了心中所寻求的乐园。,须弥
忘却之峡,周常,自由的哲学,抗争的哲学,诗文的哲学,天赋材料突破秘境,这里被称为「塔」，实际上是构建地上乐园时其中一人暂居的地方。在更加久远过去似乎是躲避风沙而建起的小小祭场。,蒙德
太山府,周常,繁荣的哲学,勤劳的哲学,黄金的哲学,天赋材料突破秘境,过去求取仙道需要上下求索、上天入地，太山府正是其中「地」的试练。如今仙踪道迹绝迹人间，太山府也变成了普通的藏宝库。,璃月
菫色之庭,周常,浮世的哲学,风雅的哲学,天光的哲学,天赋材料突破秘境,相传在遥远的古代，高山比天空更高，大地比穹顶更大。直到明镜破碎，海洋升起。在传说中，远古的樱之庭与其他岛屿的联系便因此断绝了。,稻妻
昏识塔,周常,诤言的哲学,巧思的哲学,笃行的哲学,天赋材料突破秘境,在遥远的过去，地上各处都曾有人竖起几乎能触达天顶的高塔。虽然人心总向低处流，但魂灵都向往高空。高塔最后总是会倒塌，或是不堪自身的质量陷入地底。但从更大的尺度来看，天地一如，八方四方并无差别。,须弥
