15027,迷醉长梦的守护,黄金邦国的结末,众王之都的开端,黄金邦国的结末,流沙贵嗣的遗宝
15028,守秘的魔瓶,谢落的筵席,紫晶的花冠,月女的华彩,凝结的时刻
15002,翠绿猎人的容器,猎人青翠的箭羽,翠绿的猎人之冠,野花记忆的绿野,翠绿猎人的笃定
15005,降雷的凶兆,雷灾的孑遗,唤雷的头冠,雷鸟的怜悯,雷霆的时计
15006,魔女的心之火,魔女常燃之羽,焦灼的魔女帽,魔女的炎之花,魔女破灭之时
15007,宗室银瓮,宗室之翎,宗室面具,宗室之花,宗室时计
15008,染血骑士之杯,染血的黑之羽,染血的铁假面,染血的铁之心,骑士染血之时
15014,巉岩琢塑之樽,嵯峨群峰之翼,不动玄石之相,磐陀裂生之花,星罗圭璧之晷
15015,夏祭水玉,夏祭终末,夏祭之面,夏祭之花,夏祭之刻
15016,沉波之盏,追忆之风,酒渍船帽,饰金胸花,坚铜罗盘
15017,盟誓金爵,昭武翎羽,将帅兜鍪,勋绩之花,金铜时晷
15018,超越之盏,贤医之羽,嗤笑之面,无垢之花,停摆之刻
15019,祈望之心,思忆之矢,无常之面,羁缠之花,朝露之时
15020,绯花之壶,切落之羽,华饰之兜,明威之镡,雷云之笼
15021,梦醒之瓢,华馆之羽,形骸之笠,荣花之期,众生之谣
15022,真珠之笼,渊宫之羽,海祇之冠,海染之花,离别之贝
15023,结契之刻,潜光片羽,虺雷之姿,生灵之华,阳辔之遗
15024,涌泉之盏,垂玉之叶,浮溯之珏,魂香之花,祝祀之凭
15025,迷误者之灯,翠蔓的智者,月桂的宝冠,迷宫的游人,贤智的定期
15026,如蜜的终宴,裁断的翎羽,沙王的投影,梦中的铁花,沉金的岁月
14001,遍结寒霜的傲骨,摧冰而行的执望,破冰踏雪的回音,历经风雪的思念,冰雪故园的终期
14002,平雷之器,平雷之羽,平雷之冠,平雷之心,平雷之刻
14003,渡火者的醒悟,渡火者的解脱,渡火者的智慧,渡火者的决绝,渡火者的煎熬
14004,少女片刻的闲暇,少女飘摇的思念,少女易逝的芳颜,远方的少女之心,少女苦短的良辰
